id,layer,mode,k,replacements
open_drawer__011__step_101,11,both,154,22
open_drawer__011__step_101,7,raw,64,0
open_drawer__011__step_101,7,raw,109,0
open_drawer__011__step_101,7,raw,154,0
open_drawer__011__step_101,7,corners,64,3
open_drawer__011__step_101,7,corners,109,3
open_drawer__011__step_101,7,corners,154,4
open_drawer__011__step_101,7,gaussian,64,9
open_drawer__011__step_101,7,gaussian,109,17
open_drawer__011__step_101,7,gaussian,154,21
open_drawer__011__step_101,7,both,64,10
open_drawer__011__step_101,7,both,109,15
open_drawer__011__step_101,7,both,154,22
open_drawer__032__step_011,11,raw,64,0
open_drawer__032__step_011,11,raw,109,0
open_drawer__032__step_011,11,raw,154,0
open_drawer__032__step_011,11,corners,64,1
open_drawer__032__step_011,11,corners,109,1
open_drawer__032__step_011,11,corners,154,2
open_drawer__032__step_011,11,gaussian,64,8
open_drawer__032__step_011,11,gaussian,109,17
open_drawer__032__step_011,11,gaussian,154,23
open_drawer__032__step_011,11,both,64,8
open_drawer__032__step_011,11,both,109,16
open_drawer__032__step_011,11,both,154,22
open_drawer__032__step_011,7,raw,64,0
open_drawer__032__step_011,7,raw,109,0
open_drawer__032__step_011,7,raw,154,0
open_drawer__032__step_011,7,corners,64,2
open_drawer__032__step_011,7,corners,109,3
open_drawer__032__step_011,7,corners,154,4
open_drawer__032__step_011,7,gaussian,64,14
open_drawer__032__step_011,7,gaussian,109,28
open_drawer__032__step_011,7,gaussian,154,28
open_drawer__032__step_011,7,both,64,17
open_drawer__032__step_011,7,both,109,27
open_drawer__032__step_011,7,both,154,28
open_drawer__032__step_056,11,raw,64,0
open_drawer__032__step_056,11,raw,109,0
open_drawer__032__step_056,11,raw,154,0
open_drawer__032__step_056,11,corners,64,1
open_drawer__032__step_056,11,corners,109,3
open_drawer__032__step_056,11,corners,154,4
open_drawer__032__step_056,11,gaussian,64,6
open_drawer__032__step_056,11,gaussian,109,18
open_drawer__032__step_056,11,gaussian,154,21
open_drawer__032__step_056,11,both,64,6
open_drawer__032__step_056,11,both,109,19
open_drawer__032__step_056,11,both,154,21
open_drawer__032__step_056,7,raw,64,0
open_drawer__032__step_056,7,raw,109,0
open_drawer__032__step_056,7,raw,154,0
open_drawer__032__step_056,7,corners,64,3
open_drawer__032__step_056,7,corners,109,4
open_drawer__032__step_056,7,corners,154,4
open_drawer__032__step_056,7,gaussian,64,13
open_drawer__032__step_056,7,gaussian,109,20
open_drawer__032__step_056,7,gaussian,154,18
open_drawer__032__step_056,7,both,64,12
open_drawer__032__step_056,7,both,109,20
open_drawer__032__step_056,7,both,154,18
open_drawer__032__step_101,11,raw,64,0
open_drawer__032__step_101,11,raw,109,0
open_drawer__032__step_101,11,raw,154,0
open_drawer__032__step_101,11,corners,64,1
open_drawer__032__step_101,11,corners,109,2
open_drawer__032__step_101,11,corners,154,3
open_drawer__032__step_101,11,gaussian,64,8
open_drawer__032__step_101,11,gaussian,109,15
open_drawer__032__step_101,11,gaussian,154,23
open_drawer__032__step_101,11,both,64,8
