split,layer,scale,delta_top_alignment,delta_top_minus_random,delta_synonym_residual_cosine,delta_target_residual_cosine,delta_semantic_separation,delta_synonym_mask_jaccard,delta_target_mask_jaccard,delta_mask_jaccard_separation
exploration,9,0.75,-0.056021377749434276,-0.06957949534488966,-0.029058835716469944,-0.030335395147107036,0.0012765594306368838,-0.035859023322546535,-0.04254013336458495,0.006681110042038557
exploration,9,1.25,0.004318520646165613,-0.05854441242990774,0.01004655507224339,0.0194132164913825,-0.009366661419139027,0.012142954262616024,0.02517338551627546,-0.013030431253659491
exploration,11,0.75,0.02091385024514847,0.007355732649693247,0.013004022381124192,-0.045059251155446844,0.058063273536571244,-0.030427408503592712,-0.060819649698706346,0.03039224119511358
exploration,11,1.25,0.007110002875842181,-0.05575293020023098,0.007890546222258932,-0.013188104263369915,0.02107865048562914,0.0025205482129306844,0.030349248698493536,-0.02782870048556274
exploration,14,0.75,-0.006916368500708869,-0.02047448609616409,-0.005754094178758606,-0.030786308062144774,0.025032213883386306,-0.014319320853514172,-0.04763596616006682,0.03331664530655301
exploration,14,1.25,0.0013884506237137328,-0.061474482452359674,0.008306121075691286,0.05357097269091671,-0.04526485161522535,-0.005618773843167113,0.033368126270183485,-0.03898690011335067
validation,9,0.75,0.007049380950360562,0.00046033674182136,-0.0020735143483211482,-0.02986871449215267,0.027795200143831494,-0.0184980958924309,-0.027521161461725896,0.009023065569294872
validation,9,1.25,-0.0034730458822442856,-0.05766652207624942,0.010810206259397437,0.0014251016652659931,0.00938510459413168,0.01696626687852021,0.017286721788715154,-0.00032045491019497274
validation,11,0.75,0.008014298764731032,0.0014252545561918573,-0.022816664084239435,-0.04128770242865121,0.018471038344411453,-0.03229736213479928,-0.045716533787282465,0.013419171652483242
validation,11,1.25,0.031137232902889722,-0.023056243291115414,0.00413490700781427,0.029881053392272205,-0.025746146384457894,0.0022896145135626877,0.025214587797509624,-0.02292497328394691
validation,14,0.75,-0.00415275607845933,-0.010741800286998476,-0.02601087637415611,-0.0392150271535916,0.013204150779435334,-0.021592014305856777,-0.011092818056189668,-0.01049919624966704
validation,14,1.25,0.02101881042503917,-0.03317466576896602,-0.03515258790294418,0.007900717108023092,-0.04305330501096736,0.004802847405630972,-0.00344965044334955,0.008252497848980384
