task,seed,lambda_0,lambda_0.1,lambda_0.15,lambda_0.2,lambda_0.25,lambda_0.3,lambda_0.35,lambda_0.4,lambda_0.45,lambda_0.5,lambda_0.55,lambda_0.6,lambda_0.75
google_robot_open_drawer,0,0,0,1,1,1,0,0,0,1,0,0,0,0
google_robot_open_drawer,1,0,0,1,0,0,1,0,0,0,1,1,1,0
google_robot_open_drawer,2,0,0,0,1,0,1,0,0,0,1,0,0,0
google_robot_open_drawer,3,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_open_drawer,4,0,0,0,0,0,0,1,0,0,0,0,0,0
google_robot_open_drawer,5,0,0,0,0,1,0,0,0,0,0,0,0,0
google_robot_open_drawer,6,1,0,1,1,1,1,1,1,1,1,0,0,1
google_robot_open_drawer,7,1,1,0,1,1,1,1,0,1,1,1,1,0
google_robot_open_drawer,8,0,1,1,1,0,1,1,0,1,0,0,1,1
google_robot_open_drawer,9,0,0,0,0,0,1,0,0,1,0,0,0,0
google_robot_open_drawer,10,0,1,0,1,1,0,0,1,0,1,1,0,0
google_robot_open_drawer,11,1,1,1,0,1,1,1,1,0,1,1,1,0
google_robot_open_drawer,12,0,0,0,0,1,0,0,0,0,0,1,1,0
google_robot_open_drawer,13,1,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_open_drawer,14,1,1,0,1,1,1,1,0,1,1,1,1,0
google_robot_open_drawer,15,0,0,1,1,1,0,0,0,1,0,0,0,0
google_robot_open_drawer,16,0,0,0,0,0,0,0,1,0,0,0,0,0
google_robot_open_drawer,17,0,0,0,0,0,0,1,0,0,1,1,1,0
google_robot_open_drawer,18,1,0,1,1,1,1,1,1,1,1,0,0,1
google_robot_open_drawer,19,0,0,0,1,0,1,1,0,0,0,0,0,0
google_robot_open_drawer,20,1,0,0,1,0,0,0,0,1,1,0,0,0
google_robot_open_drawer,21,0,1,0,1,0,0,0,0,0,0,0,1,0
google_robot_open_drawer,22,1,1,0,1,1,1,1,0,1,1,1,1,0
google_robot_open_drawer,23,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_open_drawer,24,1,0,1,1,1,1,1,1,1,1,0,0,1
google_robot_open_drawer,25,1,1,0,1,1,1,1,0,1,1,1,1,0
google_robot_open_drawer,26,0,1,1,0,0,0,0,1,1,0,1,0,0
google_robot_open_drawer,27,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_open_drawer,28,0,0,0,1,0,1,1,0,0,0,0,0,0
google_robot_open_drawer,29,0,0,1,0,1,0,0,0,1,1,1,0,1
google_robot_open_drawer,30,0,0,0,0,0,0,0,1,0,0,0,0,0
google_robot_open_drawer,31,0,1,0,0,0,0,0,0,1,1,0,0,1
google_robot_open_drawer,32,0,0,0,0,1,1,0,0,0,1,0,0,1
google_robot_open_drawer,33,1,1,0,1,1,0,0,1,0,1,1,1,0
google_robot_open_drawer,34,0,0,0,0,0,0,0,0,0,0,1,0,1
google_robot_open_drawer,35,0,1,0,0,0,1,0,0,0,1,1,0,1
google_robot_open_drawer,36,0,0,0,0,0,0,0,0,0,1,0,0,0
google_robot_open_drawer,37,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_open_drawer,38,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_open_drawer,39,0,0,1,1,1,0,0,1,1,1,1,0,0
google_robot_open_drawer,40,0,0,0,1,0,0,0,0,1,1,0,1,0
google_robot_open_drawer,41,0,0,1,0,1,1,1,0,1,0,1,1,0
